,Gender,Married,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Loan_Status,Total_Income,Loan_Income_Ratio,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Income_Group_low,Income_Group_medium,Income_Group_high,Income_Group_veryhigh
0,1,0,1,0,5849,0.0,128.0,360.0,1.0,1,5849.0,0.021884082749187895,1,0,0,0,0,0,1,0,0,0,1
1,1,1,1,0,4583,1508.0,128.0,360.0,1.0,0,6091.0,0.0210146117222131,0,1,0,0,1,0,0,0,0,0,1
2,1,1,1,1,3000,0.0,66.0,360.0,1.0,1,3000.0,0.022,1,0,0,0,0,0,1,0,1,0,0
3,1,1,0,0,2583,2358.0,120.0,360.0,1.0,1,4941.0,0.024286581663630843,1,0,0,0,0,0,1,0,0,1,0
4,1,0,1,0,6000,0.0,141.0,360.0,1.0,1,6000.0,0.0235,1,0,0,0,0,0,1,0,0,0,1
5,1,1,1,1,5417,4196.0,261.5,360.0,1.0,1,9613.0,0.027774888172266723,0,0,1,0,0,0,1,0,0,0,1
6,1,1,0,0,2333,1516.0,95.0,360.0,1.0,1,3849.0,0.024681735515718367,1,0,0,0,0,0,1,0,0,1,0
7,1,1,1,0,3036,2504.0,158.0,360.0,0.0,0,5540.0,0.02851985559566787,0,0,0,1,0,1,0,0,0,0,1
8,1,1,1,0,4006,1526.0,168.0,360.0,1.0,1,5532.0,0.03036876355748373,0,0,1,0,0,0,1,0,0,0,1
9,1,1,1,0,12841,10968.0,261.5,360.0,1.0,0,23809.0,0.014658322483094628,0,1,0,0,0,1,0,0,0,0,0
10,1,1,1,0,3200,700.0,70.0,360.0,1.0,1,3900.0,0.017948717948717947,0,0,1,0,0,0,1,0,0,1,0
11,1,1,1,0,2500,1840.0,109.0,360.0,1.0,1,4340.0,0.02511520737327189,0,0,1,0,0,0,1,0,0,1,0
12,1,1,1,0,3073,8106.0,200.0,360.0,1.0,1,11179.0,0.01789068789694964,0,0,1,0,0,0,1,0,0,0,0
13,1,0,1,0,1853,2840.0,114.0,360.0,1.0,0,4693.0,0.024291497975708502,1,0,0,0,1,0,0,0,0,1,0
14,1,1,1,0,1299,1086.0,17.0,120.0,1.0,1,2385.0,0.007127882599580713,0,0,1,0,0,0,1,0,1,0,0
15,1,0,1,0,4950,0.0,125.0,360.0,1.0,1,4950.0,0.025252525252525252,1,0,0,0,0,0,1,0,0,1,0
16,1,0,0,0,3596,0.0,100.0,240.0,0.0,1,3596.0,0.027808676307007785,0,1,0,0,0,0,1,0,0,1,0
17,0,0,1,0,3510,0.0,76.0,360.0,0.0,0,3510.0,0.021652421652421653,1,0,0,0,0,0,1,0,0,1,0
